key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_findagrave,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
663ecca1,663ecca1-6b4e-4a11-9494-1caa6d6b2d13,439524,,,thoen-001eve,,,,,,,'t Hoen,Evert-Jean,Evert-Jean,,,E. J.,1975,11,8,,,,1996,2007,,,,,,,,,,,,,,
3e8b4a3e,3e8b4a3e-0866-4402-ad11-1905dd9022dd,,,,ahara-000sco,,,,,,,A'Hara,Scott,Scott,,,,,,,,,,,,,,2008,2011,,,,,,,,,,
8e7b24b0,8e7b24b0-6dec-40b2-b895-8685e02e3d3b,,,,ahease001---,,,,,,,A'Heasy,,,,,,,,,,,,1900,1901,,,,,,,,,,,,,,
aaf20538,aaf20538-b53e-4d63-a3e0-e9e81fbd590c,,,,aaberg001alf,,,,,,,Aaberg,Al,Alfred Bernard,,,,1911,5,5,1976,11,12,1936,1936,,,,,,,,,,,,,,
34c63185,34c63185-85a0-4369-ac23-51f54392566a,,,,aadlan001kir,,,,,,,Aadland,Kirk,Kirk Allan,,,,1958,7,14,,,,1978,1978,,,,,,,,,,,,,,
a1f1855b,a1f1855b-c13c-4887-9aae-66b7c60ace5a,,,,aaker-000zac,,,,,,,Aaker,Zach,Zach,,,,,,,,,,,,,,2012,2013,,,,,,,,,,
2f06a161,2f06a161-2cac-4bba-a8f0-735c369858f2,,,,aakhus001zac,,,,,,,Aakhus,Zach,Zach,,,,1984,6,2,,,,2009,2013,,,,,,,,,,,,,,
754d5b99,754d5b99-f754-45b9-9dd3-d60252fd12a1,444058,,,aalber001bra,,,,,,,Aalbers,Brady,Brady J.,,,,1976,10,5,,,,1998,1998,,,,,,,,,,,,,,
cbcc7093,cbcc7093-038c-4ddd-8cfe-b306f1e32373,,,,aander000bri,,,,,,,Aanderud,Brian,Brian,,,,1989,9,1,,,,2013,2014,,,2012,2013,,,,,,,,,,
5380faba,5380faba-be6b-451a-9dba-1e622a47a256,554449,,,aanons001ger,,,,,,,Aanonsen,Jerry,Gerald Arthur,,,,1950,1,17,,,,1968,1969,,,,,,,,,,,,,,
97b1afc0,97b1afc0-419c-4b8d-b1a5-ea7a16f21aa8,,,,aaras-001---,,,,,,,Aaras,,,,,,,,,,,,1923,1923,,,,,,,,,,,,,,
6020b1f4,6020b1f4-4854-4617-a86b-33e3f959c901,430911,aardd001,aardsda01,aardsm001dav,1902,,,,,,Aardsma,David,David Allan,,,,1981,12,27,,,,2003,2017,2004,2015,2001,2003,,,,,,,,,,
b1ddbe86,b1ddbe86-5a33-41d0-8f6e-c54d663d78f0,,,,aarns-000and,,,,,,,Aarns,Andrew,Andrew,,,,,,,,,,,,,,,,,,,,,,,,,
635f609b,635f609b-0cbb-4dac-80d4-35f225c1d5be,,,,aaron-001edw,,,,,,,Aaron,Ed,Edward,,,,,,,,,,1917,1922,,,,,,,,,,,,,,
1b2f7e79,1b2f7e79-4996-4169-aba4-cd5b5c9a4df8,458209,,,aaron-001ogi,,,,,,,Aaron,Ging,Oginga D.,,,,1979,9,21,,,,1999,2003,,,,,,,,,,,,,,
5a36cc6f,5a36cc6f-e91d-4cbe-b7a4-25178b6a6123,110001,aaroh101,aaronha01,aaron-001hen,1000001,,,,,,Aaron,Hank,Henry Louis,,,Hammer; Hammerin' Hank; Bad Henry,1934,2,5,,,,1952,1976,1954,1976,,,,,,,,,,,,
25436f99,25436f99-a04d-43ea-ae0c-cadd2ec222a2,554450,,,aaron-001law,,,,,,,Aaron,Lary,Lawrence,,,,1958,12,15,,,,1981,1982,,,,,,,,,,,,,,
caaac476,caaac476-7c54-44ef-b8fb-6c2077afc844,554451,,,aaron-001mel,,,,,,,Aaron,Melvin,Melvin Carle,,,,1949,10,25,,,,1971,1971,,,,,,,,,,,,,,
805411be,805411be-8521-415f-8886-671fcb794d10,,,,aaron-000rob,,,,,,,Aaron,Robert,Robert,,,,,,,,,,,,,,,,,,,,,,,,,
6f4dcd5c,6f4dcd5c-3366-43b1-96e2-17e918ead5db,,,,aaron-002tom,,,,,,,Aaron,Tom,Tom,,,,,,,,,,,,,,2016,2018,,,,,,,,,,
